brokerage_id	name	section	row	ticket_price	p	 	compared
9325	Eventellect	126 Loge	C	2223.34	2118		0.95
9325	Eventellect	126 Loge	D	2068.67	1971		0.95
9325	Eventellect	127 Loge	A	2900.00	2762		0.95
9325	Eventellect	127 Loge	D	2140.00	2039		0.95
9325	Eventellect	127 Loge	E	2140.00	2039		0.95
9325	Eventellect	128 Loge	C	2223.34	2118		0.95
9325	Eventellect	128 Loge	E	2030.00	1934		0.95
9325	Eventellect	129 Loge	A	2800.00	2667		0.95
9325	Eventellect	129 Loge	C	2400.00	2286		0.95
9325	Eventellect	129 Loge	F	2100.00	2001		0.95
9325	Eventellect	129 Loge	K	2040.00	1944		0.95
9325	Eventellect	13 Field	X	3813.34	3632		0.95
9325	Eventellect	13 TD	A	800.80	763		0.95
9325	Eventellect	13 UR	AA	1016.00	969		0.95
9325	Eventellect	13 UR	DD	889.00	848		0.95
9325	Eventellect	130 Loge	D	2126.67	2027		0.95
9325	Eventellect	130 Loge	G	1972.00	1879		0.95
9325	Eventellect	130 Loge	H	1972.00	1879		0.95
9325	Eventellect	131	23	206.25	195		0.95
9325	Eventellect	131 Loge	B	2200.00	2096		0.95
9325	Eventellect	131 Loge	C	2100.00	2001		0.95
9325	Eventellect	132 Loge	A	2900.00	2762		0.95
9325	Eventellect	132 Loge	B	2223.34	2118		0.95
9325	Eventellect	133 Loge	A	2800.00	2667		0.95
9325	Eventellect	133 Loge	B	2200.00	2096		0.95
9325	Eventellect	133 Loge	E	2080.00	1981		0.95
9325	Eventellect	133 Loge	H	2080.00	1981		0.95
9325	Eventellect	134 Loge	A	2706.67	2578		0.95
9325	Eventellect	134 Loge	B	2126.67	2027		0.95
9325	Eventellect	134 Loge	E	2030.00	1934		0.95
9325	Eventellect	134 Loge	M	1933.34	1842		0.95
9325	Eventellect	135 Loge	B	2140.00	2039		0.95
9325	Eventellect	135 Loge	C	2060.00	1962		0.95
9325	Eventellect	135 Loge	E	2060.00	1962		0.95
9325	Eventellect	135 Loge	H	2060.00	1962		0.95
9325	Eventellect	135 Loge	O	2000.00	1906		0.95
9325	Eventellect	136 Loge	B	2126.67	2027		0.95
9325	Eventellect	136 Loge	D	2030.00	1934		0.95
9325	Eventellect	136 Loge	K	1894.67	1805		0.95
9325	Eventellect	137 Loge	A	2374.67	2263		0.95
9325	Eventellect	137 Loge	B	2045.87	1950		0.95
9325	Eventellect	137 Loge	G	2009.34	1915		0.95
9325	Eventellect	138 Loge	A	2513.34	2394		0.95
9325	Eventellect	138 Loge	B	2080.00	1981		0.95
9325	Eventellect	138 Loge	C	1993.34	1899		0.95
9325	Eventellect	139 Loge	B	2045.87	1950		0.95
9325	Eventellect	139 Loge	D	2045.87	1950		0.95
9325	Eventellect	139 Loge	J	1954.54	1863		0.95
9325	Eventellect	14 Field	B	4560.00	4343		0.95
9325	Eventellect	14 Field	D	4320.00	4115		0.95
9325	Eventellect	14 Field	H	3373.34	3213		0.95
9325	Eventellect	14 Field	J	3373.34	3213		0.95
9325	Eventellect	14 UR	CC	795.60	759		0.95
9325	Eventellect	14 UR	HH	795.60	759		0.95
9325	Eventellect	140 Loge	A	2513.34	2394		0.95
